651,652,653,654,652,653,654,652,653,654,652,653,654,652,653,654,652,653,654,652,653,654,652,653,654,652,653,654,652,653,654,652,653,654,652,653,654,652,653,654,652,653,684,685,684,685,684,685,684,685,684,685,652,653,654,652,653,654,652,655
683,339,340,338,339,340,338,339,340,338,339,693,694,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,307,308,307,308,307,308,307,307,308,307,308,339,340,338,339,340,338,339,687
715,371,372,370,371,372,370,371,372,370,693,725,726,694,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,759,759,339,759,759,340,759,759,340,339,340,371,372,370,371,372,370,371,719
747,307,308,306,307,308,306,307,308,693,725,726,725,726,694,717,307,308,306,307,308,306,307,308,306,717,718,306,307,308,306,307,308,306,307,308,306,307,308,306,759,693,694,725,726,725,726,726,725,726,307,308,308,308,306,307,308,306,307,751
683,339,340,338,339,340,338,339,693,725,726,725,726,725,726,694,717,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,307,759,694,725,726,693,693,693,694,693,694,693,759,340,340,308,338,339,340,338,339,687
715,371,372,370,371,372,370,371,725,726,725,726,725,726,725,726,371,372,370,716,717,718,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,339,759,726,694,693,694,725,725,726,725,726,725,759,308,339,340,370,371,372,370,371,719
747,307,308,306,307,308,306,717,725,726,693,694,693,694,693,693,717,308,306,307,308,306,307,308,306,307,308,306,307,308,306,307,308,306,717,717,306,307,308,306,725,693,694,726,693,694,693,694,693,694,759,340,340,308,306,307,308,306,307,751
683,339,340,338,339,340,338,717,725,726,725,726,725,726,725,725,717,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,717,717,338,339,307,308,694,725,726,726,725,726,725,726,725,693,307,308,339,340,338,339,340,338,339,687
715,371,717,718,371,372,370,717,694,693,694,694,693,694,693,694,717,372,717,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,339,759,726,694,693,694,693,694,693,694,725,725,759,340,371,372,370,371,372,370,371,719
747,307,308,306,307,308,306,717,726,725,726,693,694,726,725,726,307,308,306,307,308,306,307,308,306,307,308,306,307,308,306,307,308,306,307,308,306,307,308,759,725,726,725,726,725,726,725,693,694,694,759,306,307,308,306,307,308,306,307,751
683,339,340,338,339,340,338,339,340,726,726,725,726,694,726,338,339,340,338,339,340,716,717,718,716,717,718,716,717,718,716,717,718,716,717,718,338,339,340,338,759,759,759,693,694,693,694,725,726,726,340,338,339,340,338,339,340,338,339,687
715,371,372,370,371,717,717,371,372,370,726,693,694,726,372,370,371,372,370,371,372,716,716,717,718,693,694,695,724,725,726,727,695,695,695,716,717,718,372,370,371,372,693,725,726,725,726,372,370,371,372,370,371,372,370,371,372,370,371,719
747,307,308,306,307,717,717,307,308,306,726,693,694,694,308,306,307,308,306,307,308,716,716,725,726,725,726,727,756,757,758,759,727,727,727,725,725,718,308,306,716,693,694,726,693,694,726,308,306,307,308,306,717,717,306,307,308,306,307,751
683,339,340,338,339,340,338,339,340,338,726,725,726,694,340,338,339,340,338,339,340,716,725,726,758,757,758,759,694,695,695,727,759,759,759,725,726,718,340,338,693,725,693,694,694,726,339,340,338,339,340,338,339,340,338,339,340,338,339,687
692,693,694,695,694,695,692,693,694,695,693,694,695,726,692,693,694,695,693,694,695,692,757,758,695,692,692,692,693,694,695,695,756,757,758,757,758,725,725,725,725,726,725,726,726,370,371,372,370,371,372,370,371,372,370,371,372,370,371,719
692,693,694,695,692,693,694,695,692,693,694,695,692,693,694,695,692,693,694,695,692,692,693,694,695,692,724,692,692,693,694,695,695,756,757,758,759,693,694,692,693,694,695,692,693,694,695,692,693,694,695,692,693,694,692,693,694,695,694,695
724,725,726,727,724,725,726,727,724,725,726,727,724,725,726,727,724,725,726,727,724,724,725,726,727,693,694,695,692,693,694,695,727,756,757,758,692,693,694,695,692,693,694,695,692,693,694,695,692,693,694,695,692,693,694,695,692,693,694,695
756,757,758,759,756,757,758,759,756,757,758,759,756,757,758,759,756,757,758,759,756,756,757,758,759,725,726,727,724,725,726,727,759,757,758,759,724,725,726,727,724,725,726,727,724,725,726,727,724,725,726,727,724,725,726,727,724,725,726,727
692,693,694,695,692,693,694,692,693,694,695,692,693,694,695,692,693,694,695,692,692,693,694,695,756,757,758,759,756,757,758,759,759,757,758,759,756,757,758,759,756,757,758,759,756,757,758,759,756,757,758,759,756,757,758,759,756,757,758,759
747,339,340,338,339,340,338,339,340,338,339,724,725,726,727,338,339,340,338,339,340,338,726,693,694,692,692,692,756,756,757,758,759,757,758,725,726,725,725,725,725,693,694,693,694,695,693,694,693,694,693,694,726,726,726,726,726,726,854,855
683,371,372,370,371,372,370,371,372,370,371,756,757,758,759,370,371,372,370,371,372,370,716,725,726,693,694,695,724,692,692,724,756,757,758,757,758,718,372,370,306,306,725,726,725,726,308,307,308,306,307,308,371,372,370,371,372,370,371,687
715,307,308,306,307,308,306,717,718,306,307,692,693,694,695,306,307,308,306,307,308,306,716,717,725,725,726,727,756,724,724,756,756,757,758,725,717,718,308,306,338,306,725,725,726,726,308,339,340,338,339,340,307,308,307,307,307,306,307,719
747,339,340,338,339,340,338,339,340,338,726,724,725,726,727,726,339,340,338,339,340,338,339,340,716,725,725,725,725,725,725,725,725,725,725,716,717,718,340,338,370,306,725,725,726,758,340,308,717,370,371,372,339,340,717,717,307,307,339,751
683,371,372,716,717,718,370,717,693,694,695,756,757,758,692,693,694,695,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,716,717,718,372,370,371,306,725,757,725,726,339,340,717,308,306,307,308,372,717,717,307,370,371,687
715,307,308,306,307,308,306,724,725,726,727,692,693,694,724,725,726,727,695,307,308,306,307,308,306,307,308,306,307,308,306,307,308,306,307,308,306,307,308,306,307,338,757,758,757,758,371,372,339,340,338,339,340,307,307,307,308,306,307,719
747,339,340,338,339,340,692,693,694,695,759,724,725,726,756,757,758,759,727,695,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,725,726,725,726,725,726,725,726,371,372,307,308,372,307,307,339,340,338,339,751
683,371,372,370,371,372,724,725,692,693,694,695,757,758,692,756,757,758,759,727,372,370,371,372,716,717,718,370,371,372,370,371,372,370,371,372,370,371,372,725,726,726,725,726,725,726,725,725,726,338,339,340,371,307,307,307,372,370,371,687
715,307,308,306,307,308,756,692,693,694,695,692,693,694,724,692,693,694,695,759,308,306,307,308,306,307,308,306,307,308,306,307,308,717,718,308,306,307,726,725,726,726,725,726,725,725,726,725,726,370,371,372,307,307,307,307,308,306,307,719
747,339,340,338,339,340,338,724,725,726,727,692,693,694,695,724,725,726,727,339,340,338,339,717,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,757,758,758,757,758,757,757,758,757,758,338,339,340,339,307,307,307,307,338,339,751
683,371,716,717,718,372,370,756,757,693,694,724,725,726,727,693,694,758,759,371,372,370,371,717,717,371,372,370,371,372,370,371,372,370,371,372,307,371,340,340,693,693,693,693,693,694,725,726,340,370,371,372,371,372,370,371,372,370,371,687
683,307,308,306,307,308,306,307,308,725,726,756,757,758,759,725,726,308,306,307,308,306,307,717,306,307,308,306,307,308,306,716,717,718,307,308,306,307,340,340,725,725,725,725,725,726,370,371,372,307,308,306,307,308,306,307,308,306,307,719
715,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,338,339,340,370,371,725,726,339,340,338,339,340,338,339,340,338,339,340,338,339,751
747,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,716,717,718,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,372,370,371,716,717,718,372,370,371,719
779,780,781,782,780,781,782,780,781,782,780,781,782,780,781,782,780,781,782,780,781,782,782,780,781,782,780,781,782,780,781,782,780,781,782,780,781,782,782,780,781,782,780,781,782,780,781,782,780,781,782,780,781,782,780,781,780,781,782,783
